name_x,nombre_estado,city,name_y,rating,text
China Fun Restaurant,North Carolina,Charlotte,af92ar,1,"Food is ok , restaurant is very dirty and delivery is a bit slow sometimes ."
Harry's Place,Connecticut,Colchester,Rhonda Redo,5,Good old fashion food
Hong Kong Chinese Restaurant,Connecticut,Stamford,andrew schnelwar,5,Good quality and fresh
Jade Flower,Florida,Fort Lauderdale,Richard Estime,5,Great food
No.1 Chinese Kitchen,New Jersey,Rahway,Nelson Robles,1,I'd put 0 stars if that's even possible
Top China Restaurant,Georgia,Kathleen,Toni Mack,1,There was hair in my egg roll and they tried 2 convince me it was shredded cabbage. I have never seen short straight black cabbage 🤨
Peking Garden,Massachusetts,Sutton,John j,3,Too greasy for me.
Genghis Grill,Florida,Tampa,EJ Cobb,5,"Very quiet atmosphere, food was great, and I loved it."
Panda House,Connecticut,Stratford,Mur Young,5,The food was really good and the staff was veryy nice and friendly
China King,Delaware,Wilmington,Mark Mason,5,Good service
North China Cafe,Virginia,Falls Church,Mr. White,5,"Fast & Good, simple as that.."
Number One China,Georgia,Stonecrest,Del Stegall,3,It alright dark on the restaurant
Jani,New York,Wantagh,Michael Galicia,5,"My first time here and I was super impressed. I got the sushi lunch and it was awesome. Super fresh, 6 pieces, a roll, salad and soup. Wow. Included was a fortune cookie and a oolong tea. Nice touch. Can't wait to dine in and enjoy!"
Asian Cafe,Maryland,Frederick,Matt Danner,5,Food was great
Amazing Pavilion,Massachusetts,Pittsfield,mike methe,5,Best chinese food and lovily service
Sun Garden,South Carolina,Inman,Lillian Kincaid,5,This is the best Chinese restaurant in the area! They never disappoint!
Lee Good Taste,New York,Brooklyn,John G.,3,They got lazy bit food is still good sometimes.
New Dragon,New York,Hamburg,Robert Fullone,1,Stopped going because 1 counter person is constantly rude. Plus I end up throwing away 1/2 the chicken.
Sing Wah Kitchen,New York,New York,Julien Keshishian,5,Excellent Fresh Food. Highly recommend for your no MSG Chinese in the area. You can tell the broccoli isnt Chinese bought and is locally sourced.
China Lily,Georgia,Ellenwood,Deborah Zachery,5,"Always great food hot, good customer service well worth the drive across town."
China One,Georgia,Griffin,Mark Falanga Jr,5,Best general so chicken in griffin...loved it
Red Dumpling,New Jersey,Woodbridge,Donna Howard,5,"I usually order my food to take out from Red Dumpling. I agree the decor is lacking and could use some upgrades, but the decor of the restaurant does not imply the quality or taste of the food. The food is always tasty and you get a good amount of meat in every lunch special. My favorite dish is the fried vegetable dumplings. If you go to a restaurant to get a good dining experience, this is not the place for you. However if you enjoy delicious, authentic Chinese American food without the frills then give it a try."
Fung Chinese Restaurant,Connecticut,Hartford,YellowCab Tablet2,1,Food was 10 bucks gave them a 2 bucks tip it a pick up order she give me 2 duck sauce  I ask for more she looked at me as if I was begging  I'm Black we love duck  sauce and I GOT SICK
Rice & Noodles Chinese Restaurant,North Carolina,Goldsboro,Miriah lor,5,Great restaurant with awesome owners!
Peking House,New York,Queens,James Cancel,5,I like this place. Very relaxing environment catering to the local community. Food and service is excellent.
China Chef Restaurant,Massachusetts,Brockton,David Hart,4,"Service is good The owner is nice, food okay"
Capital Buffet,New York,Albany,George Bigaouette,5,Great Chinese Buffett! The variety is awesome!
Ling Ling,New York,Ithaca,Deb Myers,5,Always good food and quick service
Lucky Kitchen,Connecticut,West Haven,Mary Gomez,4,Favorite  Chinese  restaurant  in west haven
El Palacio,Florida,Kissimmee,Hope Rousseau,3,Food was good. Mexican food was much better then the Chinese food. I really enjoyed the guava and cheese empenada. The proplum was that many customers were not wareing facemask in the buffet line. The employees were not enforcing the mask policy. Also customers were ignoring the social distancing that was also not being enforced. We gave up eating after seeing all the people not wareing masks.
Johnny's China Cafe,New York,Waterville,Jeidy Delucas,4,😛😛
Chopstix,North Carolina,Greensboro,Amare Petty,1,They crab rolls are terrible and rubbery ....after eating my stomach starting hurting badly
China's Cuisine Sushi Bar,Virginia,Williamsburg,Nick Paul,5,I think this is the best Chinese food in Williamsburg. I've never had their sushi so I'm not going to review it. Get the  dumplings they're amazing. Hunan and KungPow chicken is amazing as is the fried rice. Everything taste like it's made from scratch it's really good. If you order with beyond menu you get coupons.
Chen's Kitchen Chinese Restaurant,Virginia,Norfolk,Dipset 23,1,Customers service is very poor.
Panda Express,Florida,Jacksonville,David Groos,5,"Great food, friendly service!  And clean!  Great experience"
China Town Chinese Restaurant,South Carolina,Estill,Wendy D,3,Food is ok
China Taste,Connecticut,Vernon,Patrick Dutton,2,"Ordered the mango chicken. Do not recommend. Chicken was pale and looked like it was from a can. Very little flavor, pretty high price."
Chopstick Express,Florida,St. Petersburg,Carlito Pagan Sr,5,Best chang in town.
Chen's Chinese Restaurant,South Carolina,Columbia,Will Martin,4,Good place to eat
Dumpling Garden (Saugus),Massachusetts,Saugus,Amos Frazier,5,"Exceptional food, very nice staff, regularly good character. They charge convenient pricing and the food quality is awesome. Keep up the good work."
New Blue Sky,New Jersey,Garfield,Aracely Davis,1,Expensive and give small portions of food
Sing Wong Restaurant,Virginia,Portsmouth,B Davis,5,Great foodmlm
Shanghai Garden,Connecticut,New London,Wilson Izquierdo,5,Best food in town. Exelent prices.
China Jade,Maine,Unity,Michael Serrano,5,Great chicken wings.
Jiang's Chinese Restaurant,New Jersey,Pomona,Santiago Ceballos,5,"(Translated by Google) Very good

(Original)
Muy bueno"
Dragon Villa,Rhode Island,Lincoln,Samantha Kimmins,5,Good food great service
Dragon House,New York,Staten Island,carlos gamboa,5,"(Translated by Google) Excellent food

(Original)
Excelente food"
Panda Chinese Restaurant,South Carolina,Columbia,Tonya F,5,Great restaurant.. The food is good and the cashier Jessica is the best....
Foo Chow Restaurant,New York,Greene,ch nippin,5,Good Food. Good People.
Jin Jin Chinese Restaurant,Florida,Perry,Marty Albanese,5,Love me some Chinese food. Egg rolls and Redneck chicken are spot on!
Panda Express,Florida,Jacksonville,Mike S,3,I hadn't been to Panda Express in about 10 years.  It was better than I remembered it.
906 Homwin Chinese Restaurant,Massachusetts,Springfield,Doree Allain,5,Love this take out place. Always good food fast!
Lam's Garden Chinese Food,New Jersey,Sayreville,Colvin Wong,5,Good food. Reasonable prices.
Super Taste,New Jersey,Point Pleasant Beach,Amy Dwyer,3,"Pretty standard Chinese food, on the greasy side."
House Of China,Florida,Clearwater,Mario Farias,5,I ordered delivery for lunch. It came within 30 minutes and everything was delicious. I highly recommend this place.
New Win Shing,New York,Long Island City,Je-Andy Angrand,2,Horrible service. Chinese food wasn't good. Was sick day after.
Chef Lee Chinese Restaurant,Virginia,Goochland,A. Hollins,5,"Decent Chinese for a rural backwater. As of August 25, 2020 is takeout only. Compares favorably to other cookie cutter Chinese places. If you're craving American Chinese I would definitely recommend Chef Lee."
Harry's Place,Connecticut,Colchester,Marty Zase,5,Always a 5 star
Wang's Fast Food,Massachusetts,Somerville,Marcio Gomes,4,Legit good and great portions
Happy Garden Chinese Restaurant,New Jersey,East Orange,Catresha Phelps,5,Great food😋
Imperial Wok Chinese Restaurant,Connecticut,New Britain,Jessica hAzEliDqT187,4,"They r good, but they close too early, wanted some at 10 pm and they just closed,so I was disappointed."
P.F. Chang's,Rhode Island,Providence,Robert St.Sauveur,5,Great food set up to share dishes
Jasmine Buffet,South Carolina,Columbia,Cedric McCoy,5,Variety of food
Peace China,North Carolina,Raleigh,Kristen Dewey,3,"First experience here, and we were not impressed. Got 4 different things to try and of them the Red Curry Chicken is the only thing I would eat again."
Asian Garden,Georgia,Acworth,Rosamund Donelson,5,I love it
Silver Palace,New York,New York,秦学诚,4,"(Translated by Google) Great food. Very good atmosphere. The price is about the same as other places in Tokyo, Bramston, too expensive.

(Original)
很棒的食物。 很好的氛圍。 價格大約是其它地方一樣東京制布拉姆斯頓,太貴了。"
Lin's Garden,North Carolina,Wake Forest,K Nc,5,Love their food. Very fast and friendly service.
Golden Dynasty Restaurant,New York,St James,j amoroso,4,Food was great but service was slow since the waitress seemed to be the only one on duty.  She was great but overburdened.
China One,Florida,Margate,MJ T,5,The food is delicious.  Arrives hot and fast. Great flavors.
Bamboo Asian Bistro,Florida,Fort Lauderdale,Saurabh Bisani,3,Decent food. They key here is to go in small groups. We went in a large group ( 8 people) and it took really long for us to get our food.
China Taste,Delaware,Camden,Donna Marie,4,"Good food, quickly prepaid with high quality ingredients. Friendly owner and staff will do their best to make sure it's exactly right.

Sadly, no delivery. They are fast so the wait times aren't too bad."
El Palacio,Florida,Kissimmee,Francisco Rivera,5,"(Translated by Google) Latin Creole food with exquisite taste and a reasonable price.

(Original)
Comida criolla latina con un gusto exquisito y un precio razonable."
New Rainbow,North Carolina,Angier,spurgeon bailey jr,4,Good service for the most part. We all have our bad days. Food quality good also with large portions.
Fortune Cookie Chinese Restaurant,Florida,Fort Myers,Mimi Ocasio,4,"Their food is always fresh and hot, and you never have to wait too long. It is my favorite Chinese restaurant in Fort Myers and have been going there for years. By far the best egg rolls in town . So if you're looking for authentic Chinese food this is the place."
Wah Lay Chinese Take Out Restaurant,Florida,Miramar,Jacqueline Mosley,4,"Wah Lay is your typical neighborhood restaurant serving good food at a reasonable price. It has been located at this same location for probably over 15 years now and we have been ordering from them since the beginning with no complaints.  It is not a a jazzy restaurant to seat in for a fancy meal, but if you want Chinese food for an evening at home you can order for delivery or stop by and pick up to go."
New China Fun,North Carolina,Goldsboro,LaTisha Faison,3,Not the best but not the worst. Friendly service.
Volcano House Chinese & Thai,Georgia,Canton,Patty Talavera,5,"The lunch special was great food and really good price! I ordered shrimp fried rice and loved it! It was moist, had good tasting egg and vegetables in it. I liked the amount of soy sauce they used and they were generous with the shrimp for ten dollars! Easy pick up with postmates."
Ming Tree,North Carolina,Wilmington,Christie Gatewood,5,It was great
Lichee Nut,New York,Brooklyn,Kristina Cerrone,4,Nice atmosphere.
Hong Kong Chinese Restaurant,South Carolina,Hartsville,Bill Beavers,4,Better than strip mall. Best I've had since moving from NJ. Highly recommended. Better than typical take out.
China Gourmet Takeout,South Carolina,Goose Creek,Brandon Schirmacher,5,"We ordered the Dragon and phoenix, bourban chicken, and steamed dumplings for delivery. Food arrived in half the time estimated, hot, fresh and wonderful. I have had delivery chinese from every place around here and by far this place was the best. Absolutly reccoment everyone try this place out!"
Dream Station,New York,Bronx,Nelson Pagan,3,Good food
Alley 41,New York,Queens,Drew R.,5,"Legit Szechuan cuisine. Everything here is amazing, no joke. You must get that mapo tofu or you'll really regret it. Also that pork in sticky rice. So good this joint!"
Amazing Wok Chinese Restaurant,Georgia,Norcross,Roy Fuller,5,This place is my go to for take out. Been going to this location since 2004 and have never had an issue with them and they always treat me good.
Buffet City,Virginia,Virginia Beach,Yoges Nathan,3,Hibachi grill was good and fresh. Rest was ok but for the lunch prize you cant complain.
Joy Kitchen,Connecticut,New Haven,Ang1,4,Friendly folk good food and great prices
Lam's Chinese Kitchen,New York,Albany,M. E. Willia,5,"Just what we needed on a cold snowing night. Hot wonton soup, mei fun, orange beef, and free egg rolls!"
El Palacio,Florida,Kissimmee,Marcus Dacarcas,4,Good selection of food.
Empire Restaurant,South Carolina,St George,Shiny Piplup,5,"Food is always hot and fresh, everything taste really good, and the owners are very friendly ."
China Eight,North Carolina,Pembroke,Elk Richardson,4,Food is always delicious.
P.F. Chang's,Virginia,Newport News,Helen Freeman,1,Waiter  was nice and kind....waiting on food and it was not worth the wait
China Legend,Florida,Tampa,Jonathan Ortiz,5,Awesome restaurant! superb food. Really fast too. Definitely a must try!
Hong Kong Restaurant,Rhode Island,West Warwick,Thomas Delage,4,Always good
Golden Gate Express,New Jersey,Seaside Heights,Jerry Thompson,4,Get Mary's dumplings they are the best. Very friendly and fast service ...the times they give you for pick up or normally accurate! The food accross the menu is very flavorful and fresh. Can't go wrong getting your chinese food fix here!
Lin’s Asian Cuisine,New York,Bronx,Evelyn Cabble,5,Love the 🍊 orange chicken
Hunan Kitchen,Maryland,Bethesda,Jb Palacios,5,"(Translated by Google) Very good food

(Original)
Muy buena comida"
A Hibachi,Virginia,Petersburg,Dee Capri,4,"Food is amazing, prepared well, staff is pretty cool. But there is a smell to the building I'm sure it's because of its age and previous businesses. Highly recommend!"
Lin’s Asian Cuisine,New York,Bronx,Christina Milom,5,Fresh fish
China Sky,Maine,Norridgewock,Geraldine Rinaldi,5,Best Chinese food around owners are a joy..
Capital Buffet,New York,Albany,Наталья Савинова,5,"(Translated by Google) Normal food for normal money.

(Original)
Нормальная еда за нормальные деньги."
Taste of China,New York,Elmhurst,Alan Fernandez,5,Good food excellent customer service
Hong Kong Buffet,Georgia,Colquitt,Christopher Larkins,5,A great variety.
Asian Palace II,Maine,Bangor,Christopher McIntire,5,Great food!
Wok Inn,South Carolina,Greenville,Ray Grimes II,4,"Fresh and hot. Taste is a 8
5 out of a 10
Service very friendly"
Happy China II,Georgia,Augusta,Betty Dent,5,Outstanding customer service and Great Food...
Lin's Garden Restaurant,New Jersey,Newark,D Estrella,5,I've been ordering from them for 16 years. Cant complain at all.
El Palacio Buffet,Florida,Orlando,Luis Guzman,5,"(Translated by Google) Very tasty and cheap food and very clean and organized and the bathrooms also clean

(Original)
Muy rica la comida y económica y muy limpio y  organizado y los  baños también limpio"
P.F. Chang's,North Carolina,Durham,Jonathan Munden,5,Excellent as always
China Buffet,Massachusetts,Saugus,Vitaliy S,5,"Good food, exceptional service"
China Wok,Maryland,Elkton,Kevin,2,Food was just ok. Chicken was all fried breading. Wontons had very little filling. Probably wouldn't go back
Orient Express,Georgia,Hinesville,Christina Jean-Louis,1,"Two hours and still no food when they said it would take an hour. Tried calling… haha what a joke, no one answers the phone!"
Good Taste Restaurant,New Jersey,Ramsey,Connor J,5,"With all the Chinese food options  that we have in the Ramsey /Mahwah  area,  Good Taste is without  a doubt  the best option.  Hands down the best pork fried  rice too!"
Great Panda Chinese Food,Maryland,Baltimore,Rena Jordan,3,Been eating here for years and the food is good but be careful when you get the chicken wings because they don't clean them good
Little Kitchen,Massachusetts,Carver,Nancy Green,3,Pretty good. Clean kitchen.
China Kitchen,Virginia,Waverly,Jaision Williams,5,I like
Chinese Food Take Out,Florida,Palm Springs,Julie Helt,2,"Friendly and quick, food mediocre"
Ho Ho Restaurant,Virginia,Richmond,John Stanley,5,Always fresh and how you want it love you
Taipei Cafe,Virginia,Leesburg,Roberto Granados,2,"I used to like this place because they always have the customers fresh food, but this recent time I went, ended up getting sick out it"
Tang's Chinese Cuisine,Maine,Houlton,Supernatural Girl,5,"My brother and I brought our dad here for Father's Day. Awesome food, gluten free options and excellent service!!!"
Main Moon Restaurant,Georgia,Watkinsville,slf buehning,5,Perfect place to eat
Eat Rice,Virginia,Richmond,Marshall Jones,5,Best place in the area
China 1 Brooklet GA,Georgia,Brooklet,Amanda Deen,5,The food here is wonderful! The amount of food compared to the price is amazing. The convenience for calling ahead is well worth a trip to Brooklet just to pick up dinner.
Chopsticks House,New York,Staten Island,Jen Garcia Jimenez,5,Good food
New Kitchen Chinese Restaurant,New Jersey,Trenton,MARVALUS Mar'vell (MAR. V. MAR),4,Kool
Orient Express,Georgia,Hinesville,Myron Gilley,5,food was hot fresh and good not disappointed at all
Peking Taste Chinese and Thai Restaurant,New York,Staten Island,MARTIN VEZZUTO,4,Food is really good and plenty of it
Hunan Royal,New Jersey,Norwood,Perry Stein,4,"Better than most for suburban Chinese takeout. Efficient and fast delivery. However, not like going to Chinatown or Flushing"
Golden Dynasty Restaurant,New York,St James,Neil A Rosenberg,5,Food and Service is 1st class.
P.F. Chang's,Virginia,Newport News,Brenda Davis,5,Outstanding food and service
King's Wok III,New Jersey,Sicklerville,Keisha Morsindi,4,Make sure you dont order lunch specials food not fresh ... everything after that is good!
Super Buffet,New York,White Plains,Peg Wineski,3,Same stuff change so.w stuff on the menu
Golden Garden,New Jersey,Toms River,Cindy Fee,5,Great portions
New Shanghai,Massachusetts,Boston,Andrew White,1,Totally drove there to find out they were closed 😣
China Star,Maryland,Perryville,Chris Priest,5,Great food.... surprisingly
Mee Hong Restaurant,Massachusetts,New Bedford,Ashley Y,5,"Great Chinese food, good prices, affordable."
Chopstick Express,Florida,St. Petersburg,Marykay Dadetto,5,"The best Chinese food with great variety.  We have ours delivered by Chopsticks and always hot a pon arrival.  If you feel like sushi they offer that also which is great also.  Shrimp is large size,chicken wings amazing also."
Chow Mei Mei,Georgia,Atlanta,Brianna Lewis,3,Enjoyed my food! Nice decor and layout. Three hours free parking in the decks.
Empire Grill,New York,Brooklyn,Shimon Avraham Eliezer Yosef Hatzadic Holy Moses,1,Moshe Lemni owes me for 3 weeks salary. When will  I get paid ? Please email me asap at HashemLovesMe1826@yahoo.com
Wok & Roll,Maryland,Dundalk,Debbie Wolpert,5,Always great tasting food and reasonable prices.
Happy Garden Chinese Restaurant,New Jersey,East Orange,Dwayne Anglin,3,I bought beef strips and rice it had alot of rice and onions i couldn't find the beef anywhere had to exchange it for spare ribs which was good.
P.F. Chang's,Virginia,Newport News,Bob Musico,5,"This is our go to place for oriental food. Its always fresh, and the staff are always friendly."
Yummy,Maine,Buxton,Mark D,3,Meh. It's okay.
Golden City III,Virginia,Virginia Beach,Ronald adkins,4,This is a no frills Chinese restaurant. We dined in and our food was on the table in less than 10 minutes. The bourbon chicken was great. Sesame chicken was good also. We got the lunch specials so the meals were around $6 each and are nice in size. Good spot for cheap eats!
Oriental Garden,Georgia,Monroe,Kim Williams,5,"Always clean, the staff is friendly and accommodating. One of the few places I can find my favorite, Lemon Chicken!"
China Garden,Georgia,Loganville,Dani Durland,4,"Love their plain wings and hot and sour soup, but they often get our pet wrong."
Shell Cove,New York,Queens,郭永雄,1,"(Translated by Google) Okay!

(Original)
還可以吧 ！"
New China,New York,Brooklyn,Michael Bernard,4,Pretty good
North China Cafe,Virginia,Falls Church,Eric Stavenjord,5,"Best Chinese in Fairfax, made with love."
Fortune Cooky Restaurant,Maryland,Glen Burnie,Donna Green,5,"Nice atmosphere, definitely will go there again"
Hunan Taste Restaurant,Virginia,Springfield,David Thomas,5,"We've been ordering from this place for almost six years. Everything's always right, hot and delicious. They've changed a  few recipes over the years but everything is still good."
China Chef,Virginia,Chesapeake,James Elder,1,The man that runs this has no customer values at all. Has never said Thank You.
China King,New Jersey,New Brunswick,Luis Morales,5,delicious food
Fu Leen Restaurant,North Carolina,Williamston,sKabii,3,"Fast service. Food is good

Edit: Food been questionable the last few visits. Was previously 5 stars"
Wongs Kitchen,Rhode Island,Providence,Jerry Chan,5,"Was passing through Providence with a hankering for chinese food. Found Wongs Kitchen and gave it a try. Plenty of street parking, ordered the teriyaki beef and chicken rice bowl. Reasonably priced and tasty, friendly and helpful staff; contempory clean and welcoming decor, nice location, recommended!"
Fortune Cookie Kitchen,Connecticut,Bridgeport,jose ortiz,5,"(Translated by Google) The food is very tasty

(Original)
Es muy sabroso la comida"
China Chef,Maryland,Baltimore,Daniel Nemeth,5,"We have been going there for 15+ years. They have great food, service and very friendly. Cash only though. Best wonton soup in town."
Oriental Wok Chinese Food,Maryland,Baltimore,Tombo Tombo “Tombo” Tombo,5,"they always hook it up. you won't go hungry if you can afford a mega reasonably priced lo mein.  if you are in the neighborhood, give them your money, bro."
Main Moon Chinese Restaurant,New Jersey,Linden,ron archer,5,Good food
Seasons Kitchen,New York,Brentwood,Michael Loeffler,4,Best homemade soup noodles on the island you know the the noodles that go in your soup LOL
El Palacio Buffet,Florida,Orlando,C. Carruego,4,Good food and price!
Golden Run Restaurant,North Carolina,Laurinburg,JERMAINE SPEARS,4,Food is good
Peace China,North Carolina,Raleigh,Michael Reives,5,Good. Better that your average corner Asian spot
Empire 19,New York,Bronx,Joel Jimenez,5,Excellent service and quality at an unbeatable price. Highly recommend to others.
Lucky House,Maryland,Frederick,Anita,1,Horrible!!! Old old old grease used for everything. You could taste it.
China King Restaurant,Delaware,Wilmington,Araceli Bernal,4,Good food
Good Taste of Bronx,New York,Bronx,Steveson Nurse,3,"Chinese restaurants are not what they once were the food dose not taste the same, Not the same traditional cooking so sad."
Orchid Garden Restaurant,North Carolina,Fayetteville,Christopher Phayrin,5,Great thai food
Lin's Garden,North Carolina,Wake Forest,Jonathan Daniel,5,Great food. Can be a little expensive. But they are fast and friendly. Probably best in the area
Pharaoh Cafe,Virginia,Sterling,Tyson Kemp,5,"A great hookah indeed! The service is also very attentive. The shisha is fresh and the pipes are clean. The atmosphere is great as well, comfortable seating with pillows to rest on. The mint tea is also good. Go, relax, eat, talk with friends and have fun!"
King's Taste,New York,East Elmhurst,Catherine Hunt,2,Food is good but the woman who works front counter can be very rude at times. When you eat out you want to have good experiences especially if your spending your money there......
Hibachi Express,Georgia,Monroe,Bobbie Vanwagner,3,Good food very pricey
Hunan Wok,New Jersey,Mt Holly,Frank Nash,4,Good Chinese for a good price.
China Taste,Maryland,Nottingham,Teesh N,5,Great service!!!! And great food!!!
Chin Song Restaurant,North Carolina,Asheboro,Shannon Bowman,5,Best chinese food around anywhere
Panda Express,Florida,Pensacola,Richard Gates,5,"Great food, great staff, clean bathrooms, best lunch!"
Panda Express,Virginia,Fairfax,Cody Christensen,5,"Superb food at a great price. Friendly, quick service. Love this food."
May garden(port jefferson station),New York,Port Jefferson Station,Stephanie C.,4,My first time trying this place. I’m very picky with my Chinese food and I can never find a decent spot! This place was really good! The sesame chicken was very crispy and flavorful. Most places are very bland. The fried chicken was good and not very oily!!! Definitely will go back and try other items.
Imperial Buffet,Florida,Homestead,Yami F.M.,1,Old rice burnt
New Ming Fat,New York,Brooklyn,Bryan Barrett,5,Love their chicken wings! They give a decent amount and chop it up for you without asking. Typical chinese restaurant setup.
Chen's Chinese Restaurant,South Carolina,Columbia,Miranda Smith,3,"Chen's chinese food is basic, better than most. I hit them up once every few months, nothing I would eat on weekly basis. People in the South don't know what good Chinese food is because it's not prepared properly down here. If anyone can tell me where to find some good Chinese I will greatly appreciate ir."
Dragon Express,North Carolina,Greensboro,carrie snider,5,Best sesame chicken ever! They remember my order and an extra pair of chopsticks for my 6 year old. 😊
Asian Garden,Georgia,Acworth,Matt,5,Best Chinese place in Acworth because this is family owned. Some of the food that they make is gluten free but you must ask. Our family goes here often when they are open.
Empire Szechuan,New York,Staten Island,BC gu,1,2 lunch for $22 i
Jasmine Buffet,South Carolina,Columbia,31B4P,1,Rude to people
Ho Mei,New York,Flushing,Juan Quito,5,Chinese food is so great
MERRY LAND CHINESE RESTAURANT,New York,Long Beach,anthony romano,5,Go to Chinese in the area.
Asian Cafe,Maryland,Frederick,Ken Smith,5,"Our ""go to"" when taking home. Always fresh and friendly."
Dynasty Restaurant,Massachusetts,Hopkinton,Jeff Young,4,"Good lunch buffet at very reasonable price.  Standard Americanized Chinese food.  Great service and fresh ingredients.  No open wifi, bar service available.  complimentary hot Chinese tea."
Yi Pin Cuisine,New Jersey,Moorestown,Steve D,5,Stopped by for a quick lunch. Service and food were very good.  Polite staff. Decent lunch specials.
La Preciosa,New York,New York,Nhuvasarim Aeon,4,The food is consistent as usual but fair warning; do not visit this place close to closing time. The service gets a little wonky
China Express,New Jersey,Hainesport,Tim Kennedy,1,They leave boxes of chicken sitting outside the back of there restaurant to thaw.  Disgusting.  I have picture proof.
Genghis Grill,Florida,Tampa,ashley best,3,Was good to have choices but a little pricey
Kim's Island,New York,Staten Island,Valerie Tagliavia,5,All the dishes we order seem to be made well and very tasty. Love the extra firm wontons in the soup. Enjoy the chicken and Singapore mei fun dishes and rp egg foo young. The have good quality large shrimp in the entrees.  They offer you something for free when you order a few items. They are nice family people and I hope they are doing well enough to stay on Main St...I'd hate to lose them.  Reasonably priced items. It's for take out but there are tables to eat there. Never had to wait long for our order and the few times something was missing or not right they made it over right. Good business.
China Ossining,New York,Ossining,Darvin Vazquez,5,Like Chinese food 😋
China Wok,Florida,Naples,Lyla Brown,5,I just absolutely love this place!!!
Chen's Chinese Restaurant,Virginia,Glen Allen,Markus Groener,5,Great good and always excellent service.
No 1 New China,Virginia,Colonial Heights,jaimeb cw,5,"Fast, great value, taste and quality as expected, but most important great service with a nice smile."
Ye Garden,New York,Queens,Jem S,5,My favorite dish from this place is the Crispy Honey Shrimp. Never heard of it before until I started ordering this place and it's now one of my top 5 orders.
China Wok Chinese Restaurant,Massachusetts,Pembroke,Pamela Murdock,5,"Delicious food,  good prices and fast service.  I also used this restaurant for functions and they do a great job."
China Palace II,Virginia,Manassas,Preston Smith,4,I love that restaurant..
China Wok Restaurant,New Hampshire,Keene,Dennis Whitney,3,Pretty good
Li's Brothers,Massachusetts,Longmeadow,Robert Fontaine,5,Great sushi. Super great value.
Golden China,New York,Brooklyn,Author Aleja Bennett,5,Love the chicken nuggets
Persuasian Restaurant,North Carolina,Charlotte,Chanel Bresnick,4,Great background music as well as great food
Golden Harbor,New York,Queens,Robert Napolitano,5,Good food
Old Peking Restaurant,Virginia,Oakton,MIR HUSSAIN,5,Excellent
Super 403,New York,Brooklyn,Paulo Cupollilo,5,"I loved this place, cheap with good food. You can choose Chinese or Mexican"
Red Pepper Chinese and Vietnamese Cuisine,New York,Amherst,Kenny Byrd,5,"Great food, with a warm setting, friendly service and a fair price."
China Town Express,Connecticut,Norwalk,Gabriel velez,1,Terrible food & service. Meat tasted old & reheated. & I didnt even recieve exactly what i ordered!!! never ever ordering from here again. 35$ down the drain.
Songbird,New Hampshire,Tamworth,Stephanie Doane,2,Food was good but the worse service ever!! The waitress who is a older woman was wearing a loose fitting tank top with no bra on! She was really slow. She dropped our menus off and didn't even ask us what we wanted to drink. She was very unprofessional! I'll get takeout next time.
Homemade Chinese Kitchen,New York,Bay Shore,yess S P,5,"(Translated by Google) The best Chinese food buffet

(Original)
El mejor Bufet de comida china"
Friendly,New York,Queens,Joicell Cox,5,Good Chinese
Hunan Gourmet,New York,Oneonta,Solomon Maricle,5,"Quick, clean.  Food was delicious."
Pei Wei Asian Diner,New Jersey,Maywood,Yuvaraj Mahendran,1,Horrible food.  Never ever try Sushi there.  We ordered California roll and it was served cold.  We also ordered Kung pao chicken - this was the worst ever - dry and partially cooked that I am sure was cooked at least 3 days before.
Joy Wok,New York,Gloversville,Elizabeth Seyboth,5,Great food great service...
New Lucky Garden Chinese restaurant,New York,Albany,Tony Garcia,5,Really good food
Kulu Desserts,New Jersey,Edison,Luna Light715,5,"I recommend anyone who has a sweet tooth and to come and try their desserts. Their pinky rose waffle icecream has a soft and refreshing strawberry taste. It has contains strawberry icecream, mangos, strawberries, and whipped cream on the side.The banana rainbow waffle icecream ( I think that's what it's called) is very sweet and if you love sugar x2 then it's meant for you. The banana rainbow has a vanilla ice cream topped with chocolate syrup, bananas and fruity pebbles. The sesame waffle icecream is all sesame. Icecream is sesame, dragon fruit covered in sesame, even the waffle is baked with sesame. Each of the waffles are very soft and becomes soggy if mixed with the icecream,  but still tastes delicious. I was also glad to find a taro bubble tea drink that tastes similar to a taro slushie. There is also the option of ordering on a large touchscreen device and after ordering you have a buzzer that gives off a loud sound. Prices are a bit high, but worth it. They also serve food which I will try next time I stop by!"
Hong Kong Chinese Restaurant,Virginia,Poquoson,Paul Schoenmann,5,Fast service and good food.
Szechuan Buffet,North Carolina,Wilmington,Justin,1,The carpet was flooded and the walls were dripping with moisture. The food was cold and when fresh food came out it tasted old.
China Garden Restaurant,Virginia,Wise,Ky HillBilly70,5,Wonderful staff.  Food hot and good.  Clean.
New Asian,New York,Queens,Kwon Joshua,5,"(Translated by Google) Very delicious

(Original)
아주맛있어요"
Taipei Cafe,Virginia,Leesburg,Jaimie Van Antwerp,5,"Good food, not greasy or over spiced. Delivery is very quick and patient"
Gaga Seafood Restaurant,Massachusetts,Boston,weiwen luo,5,"(Translated by Google) The service is good, the product is not wrong·

(Original)
服务好，出品唔错·"
China King,Delaware,Wilmington,Jeremy Alston,2,I only eat wing's so...
Best Food in Town,New Jersey,Mays Landing,Carol Winterbottom,5,Best Chinese  food I have ever had!
